code_insee;code_postal;commune;superficie;population;classe_potentiel;identifiant;departement;region;milieu;polluant;quantite;score_pollution;nb_usines_polluantes;score_traitement;score_final;lat;long
69250;69890;LA_TOUR_DE_SALVAGNY;847.0;3.5;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;45.810437766783764;4.712389292898806
10064;10500;BRIENNE_LE_CHATEAU;2168.0;3.2;1.0;9000118.0;AUBE;GRAND-EST;;;0.0;5e-08;1.7999999999999998;0.0;2.8000000499999995;48.397419528768445;4.539285322534985
34147;34480;MAGALAS;2085.0;2.8;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;43.48086888770443;3.217445892664902
89020;89660;ASNIERES_SOUS_BOIS;1812.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;47.47895676064887;3.639073943408717
67145;67490;FRIEDOLSHEIM;353.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.7070325283503;7.487273403537469
27405;27150;MESNIL_SOUS_VIENNE;571.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;49.3852334918059;1.667584373201708
85262;85660;SAINT_PHILBERT_DE_BOUAINE;5055.0;2.9;3.0;6301313.0;VENDEE;PAYS-DE-LA-LOIRE;;;0.0;5e-08;1.7999999999999998;0.0;4.8000000499999995;46.99279075255107;-1.507388224197961
63403;63320;SAINT_VINCENT;595.0;0.4;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;45.547217659353166;3.125901496363335
77223;77520;GURCY_LE_CHATEL;1276.0;0.6000000000000001;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.484471600590844;3.080906294298569
62343;62128;FONTAINE_LES_CROISILLES;621.0;0.3;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;50.21575245153605;2.904360804938137
51655;51130;VOUZY;949.0;0.3;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.91703029729635;4.10778108017597
91359;91720;MAISSE;2148.0;2.7;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.39589413332523;2.370094058432133
10379;10700;TORCY_LE_GRAND;752.0;0.4;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.52343261949902;4.167991457350812
77020;77970;BANNOST_VILLEGAGNON;1940.0;0.6000000000000001;1.0;6500067.0;SEINE-ET-MARNE;ILE-DE-FRANCE;;;0.0;5e-08;0.6000000000000001;0.0;1.6000000500000002;48.67538098990416;3.191906552876186
38301;38930;PERCY;1582.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;44.78911621186189;5.626041253491066
40005;40320;ARBOUCAVE;992.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;43.60592615851719;-0.44174435793986205
50144;50670;COULOUVRAY_BOISBENATRE;1726.0;0.6000000000000001;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;48.78210770727204;-1.10464666586478
27635;27700;LE_THUIT;311.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;49.25975179988134;1.367256433995556
59418;59158;MORTAGNE_DU_NORD;216.0;1.6;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;50.50015158025263;3.453273808008044
