identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0010600109;SUEZ RV CENTRE EST VALORISATION;41025264700061;349, route de la Thibaudière - CD 87;69650;QUINCIEUX;RHONE;AUVERGNE-RHONE-ALPES;835982.000000;6536877.000000;2154;3832Z;Récupération de déchets triés;;
0010600538;HCL HOPITAL LYON SUD;26690027300019;165 chemin du Grand - Revoyet;69310;PIERRE-BENITE;RHONE;AUVERGNE-RHONE-ALPES;840577.000000;6512814.000000;2154;8610Z;Activités hospitalières;;
0010600720;FONDERIE VENISSIEUX  SAS;47756653300022;10 Avenue Pierre Cot;69200;VENISSIEUX;RHONE;AUVERGNE-RHONE-ALPES;847799.000000;6513962.000000;2154;2451Z;Fonderie de fonte;2.(d);Fonderies de métaux ferreux d'une capacité de productionde 20 tonnes par jour
0010300060;CHARLES ET ALICE;34768107400048;ZI Route de Livron;26400;ALLEX;DROME;AUVERGNE-RHONE-ALPES;850599.000000;6409224.000000;2154;1039B;Transformation et conservation de fruits;8.(b).(ii);matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
0006807542;DIACE  Sas;31043916100012;Zone Artisanale, 425 Route du Cammas;46110;VAYRAC;LOT;OCCITANIE;1.698858;44.947704;4326;2453Z;Fonderie de métaux légers;;
0006803698;SOVAMEP;33903929900039;9 rue Joseph Cugnot;31600;MURET;HAUTE-GARONNE;OCCITANIE;565731.000000;6265784.000000;2154;3832Z;Récupération de déchets triés;;
0053700604;SAS LA FENNETRIE;34926041400017;La Fennetrie;37500;MARCAY;INDRE-ET-LOIRE;CENTRE;486311.000000;6666851.000000;2154;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0006800226;GAIA;49402440900141;Sauterne 2;31420;AURIGNAC;HAUTE-GARONNE;OCCITANIE;529021.000000;6237165.000000;2154;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;3.(b);Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
0003300469;Solvay Opérations France;41457405300065;2 avenue de la république;39501;TAVAUX;JURA;BOURGOGNE-FRANCHE-COMTE;882653.000000;6662582.000000;2154;2013B;Fabrication d'autres produits chimiques inorganiques de base n.c.a.;4.(a).(vi);hydrocarbures halogénés
0006811508;SABLIERES DES PYRENEES HORGUES;71278044400063;CHEMIN DU MANSAS, lieu dit Naveras;65310;HORGUES;HAUTES-PYRENEES;OCCITANIE;0.092558;43.193468;4326;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;;
0052903123;GAEC AR MANERIOU;30371711000017;Quilliguien;29420;PLOUVORN;FINISTERE;BRETAGNE;184540.000000;6853940.000000;2154;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0005701610;Westlake Compounds France;66203770400100;Chemin de Saint-Léonard;51100;REIMS;MARNE;GRAND-EST;779929.000000;6903378.000000;2154;2016Z;Fabrication de matières plastiques de base;;
0052201349;SCEA DE LA VILLE PEAN;33226233600016;LA VILLE PEAN;22550;HENANBIHEN;COTES-D'ARMOR;BRETAGNE;302346.000000;6843301.000000;2154;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0005503914;EAU DU PONANT SPL;77566736301282;ZI Portuaire, Rue Charles Cornic;29200;BREST;FINISTERE;BRETAGNE;149366.000000;6835837.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;5.(b);Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
0005301789;MAITRES LAITIERS DU COTENTIN;33815461000046;8 Route de Valognes;50260;SOTTEVAST;MANCHE;NORMANDIE;315382.000000;2510274.000000;27572;1051C;Fabrication de fromage;8.(c);Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
0005209699;SMD3 - Vanxains;25240532900035;La Métairie Basse;24600;VANXAINS;DORDOGNE;NOUVELLE-AQUITAINE;440670.250000;2025260.380000;27572;3821Z;Traitement et élimination des déchets non dangereux;;
0005519865;ISDI CAST;53743318700250;Le Hinguer;29150;CAST;FINISTERE;BRETAGNE;174758.000000;6804617.000000;2154;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;;
0005104563;FRANCE DEMONTAGE AUTO;39871983100016;20 rue de Paris;60420;TRICOT;OISE;HAUTS-DE-FRANCE;670990.000000;6939401.000000;2154;4532Z;Commerce de détail d'équipements automobiles;;
0052201219;EARL DARTOIS GUY;38365076900011;BEAU CHENE;22350;GUITTE;COTES-D'ARMOR;BRETAGNE;323779.000000;6812246.000000;2154;0146Z;Élevage de porcins;7.(a).(iii);disposant de 750 emplacements pour truies
0007003222;INTEREP;39906857600020;Parc des activités de ROUBAIX-EST;59115;LEERS;NORD;HAUTS-DE-FRANCE;717033.000000;7063943.000000;2154;2219Z;Fabrication d'autres articles en caoutchouc;4.(a).(ix);caoutchoucs synthétiques
0006810031;ENTREPRISE SEVA;32363458400037;rue Aristide Bergès, ZI Le Casque;31270;CUGNAUX;HAUTE-GARONNE;OCCITANIE;568273.000000;6274015.000000;2154;4222Z;Construction de réseaux électriques et de télécommunications;;
0009000062;SNOI- Parc de Phalsbourg;57208621300285;District de Phalsbourg;57370;METTING;MOSELLE;GRAND-EST;958169;2434925;27572;4950Z;Transports par conduites;;
0009000097;Société Française Donges-Metz-Saint Baussant-Parc A;39064010000082;Les hauts de Mad - RD 28 A;54470;SAINT-BAUSSANT;MEURTHE-ET-MOSELLE;GRAND-EST;5.792228;48.885652;4326;5210B;Entreposage et stockage non frigorifique;;
0010004204;PROVA;58214199000025;ZI, route de Boissy Le Girard;45480;AUTRUY-SUR-JUINE;LOIRET;CENTRE;633759.000000;6797596.000000;2154;1089Z;Fabrication d'autres produits alimentaires n.c.a.;;
0006108909;AUCHAN HYPERMARCHE;41040946000400;741 RUE DU COMMERCE, EPAGNY;74330;EPAGNY;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES;938065.000000;6542296.000000;2154;4711F;Hypermarchés;;
0006113500;FRANCK FAUST;43165544800014;90 avenue Franklin Roosevelt;69120;VAULX-EN-VELIN;RHONE;AUVERGNE-RHONE-ALPES;850511.000000;6519611.000000;2154;4677Z;Commerce de gros (commerce interentreprises) de déchets et débris;;
0006303394;OUEST BOULANGERE;42128441500013;ZA La Buzenière, 10 rue Olivier de Serres;85500;LES HERBIERS;VENDEE;PAYS-DE-LA-LOIRE;393030.000000;6647908.000000;2154;1071A;Fabrication industrielle de pain et de pâtisserie fraîche;8.(b).(i);matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
0006305043;Compost et Valorisation du MANS;50922363200019;ZAC de la Rouvellière;72700;ALLONNES;SARTHE;PAYS-DE-LA-LOIRE;0.172514;47.944475;4326;3821Z;Traitement et élimination des déchets non dangereux;;
0006301687;SNCF TECHNICENTRE PAYS DE LA LOIRE;51903758409539;Le Grand Blottereau - chemin de la Bonnetière;44000;NANTES;LOIRE-ATLANTIQUE;PAYS-DE-LA-LOIRE;359934.000000;6690757.000000;2154;4910Z;Transport ferroviaire interurbain de voyageurs;;
0052900513;CAPITAINE COOK;37608030500109;ZONE DE KERANNA;29360;CLOHARS-CARNOET;FINISTERE;BRETAGNE;207793.000000;6765378.000000;2154;1020Z;Transformation et conservation de poisson, de crustacés et de mollusques;;
0010007362;PAPREC CRV;31742823300496;avenue Louis Billant;18570;LA CHAPELLE-SAINT-URSIN;CHER;CENTRE;647518.000000;6661798.000000;2154;3811Z;Collecte des déchets non dangereux;;
0005401305;Aluminium France Extrusion ST-FLORENTI;35261064600015;Route de Tonnerre, BP 65;89600;GERMIGNY;YONNE;BOURGOGNE-FRANCHE-COMTE;756562.000000;6766322.000000;2154;2442Z;Métallurgie de l'aluminium;2.(f);Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
0010700007;EXCOFFIER RECYCLAGE;32702008700109;LA POUILLE;73220;AIGUEBELLE;SAVOIE;AUVERGNE-RHONE-ALPES;6.316109;45.528909;4326;3832Z;Récupération de déchets triés;;
0005208477;TEREGA;09558084100617;361, route du centre du stockage;40270;LUSSAGNET;LANDES;NOUVELLE-AQUITAINE;440827.000000;6303302.000000;2154;4950Z;Transports par conduites;;
0006519853;SUEZ RV PORCHEVILLE;66201448900196;15 Avenue Ozanne  ZI LIMAY-PORCHEVILLE;78440;PORCHEVILLE;YVELINES;ILE-DE-FRANCE;610718.000000;6872916.000000;2154;3811Z;Collecte des déchets non dangereux;5.(c);Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
0005803383;DRESSER RAND;56206026900023;Zone industrialo portuaire du Havre, Route PLPN;76700;ROGERVILLE;SEINE-MARITIME;NORMANDIE;501392.000000;6933641.000000;2154;2813Z;Fabrication d'autres pompes et compresseurs;;
0009000122;3e RMAT DETACHEMENT DE VAYRES;15400073100013;2 route de BSN  BP 14;33870;VAYRES;GIRONDE;NOUVELLE-AQUITAINE;-0.316700;44.900000;4326;3317Z;Réparation et maintenance d'autres équipements de transport;;
0005517017;LES RECYCLEURS BRETONS;44489473700055;170 RUE JACQUELINE AURIOL, ZAC DE SAINT THUDON;29490;GUIPAVAS;FINISTERE;BRETAGNE;151876.000000;6841247.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;5.(c);Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
0006308031;EIFFAGE ROUTE SUD OUEST;39930737000011;La pièce de la Vallée;85210;SAINTE-HERMINE;VENDEE;PAYS-DE-LA-LOIRE;386091.000000;6616111.000000;2154;4211Z;Construction de routes et autoroutes;;
0005701782;ARCELOR MITTAL Tubular products Vitry;38313208100035;ZI de Vitry Marolles, BP 10;51300;VITRY-LE-FRANCOIS;MARNE;GRAND-EST;818073.000000;6848308.000000;2154;2932Z;Fabrication d'autres équipements automobiles;;
0005701929;LISI AEROSPACE;84542028000032;Avenue du Général Leclerc, BP102;10200;BAR-SUR-AUBE;AUBE;GRAND-EST;826101.000000;6794670.000000;2154;2550A;Forge, estampage, matriçage ,  métallurgie des poudres;;
0005702454;FOCAST;49426089600019;Chemin du Closot;52100;SAINT-DIZIER;HAUTE-MARNE;GRAND-EST;842078.000000;6839733.000000;2154;2451Z;Fonderie de fonte;2.(d);Fonderies de métaux ferreux d'une capacité de productionde 20 tonnes par jour
0006301923;LEGRAND FRANCE SA;30435148900022;80 route d'Evron;72140;SILLE-LE-GUILLAUME;SARTHE;PAYS-DE-LA-LOIRE;466652.000000;6790919.000000;2154;2733Z;Fabrication de matériel d'installation électrique;;
0052902742;EARL DE LESCOAT;81855770400017;LIEU DIT LESCOAT;29830;PLOUGUIN;FINISTERE;BRETAGNE;143046.000000;6851324.000000;2154;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0005202315;SAS DOMAINE DU TAUZIA;33043934000010;TAUZIA;47160;VILLEFRANCHE-DU-QUEYRAN;LOT-ET-GARONNE;NOUVELLE-AQUITAINE;478280.000000;6362969.000000;2154;0147Z;Élevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille
